grupo_etario,sexo,semana,semana_texto,fecha_inicio_semana,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom,cambio_porcentual_diarios
>=70,Mujer,54,10 Jan - 16 Jan 21,2021-01-10,166,13.7,,
>=70,Mujer,55,17 Jan - 23 Jan 21,2021-01-17,222,33.7,,
>=70,Mujer,56,24 Jan - 30 Jan 21,2021-01-24,240,8.1,,
>=70,Mujer,57,31 Jan - 06 Feb 21,2021-01-31,225,-6.2,,
>=70,Mujer,58,07 Feb - 13 Feb 21,2021-02-07,226,0.4,,
>=70,Mujer,59,14 Feb - 20 Feb 21,2021-02-14,215,-4.9,,
>=70,Mujer,60,21 Feb - 27 Feb 21,2021-02-21,227,5.6,,
>=70,Mujer,61,28 Feb - 06 Mar 21,2021-02-28,243,7.0,,
>=70,Mujer,62,07 Mar - 13 Mar 21,2021-03-07,270,11.1,,
>=70,Mujer,63,14 Mar - 20 Mar 21,2021-03-14,262,-3.0,,
>=70,Mujer,64,21 Mar - 27 Mar 21,2021-03-21,246,-6.1,,
>=70,Mujer,65,28 Mar - 03 Apr 21,2021-03-28,263,6.9,,
>=70,Mujer,66,04 Apr - 07 Apr 21,2021-04-04,93,-64.6,,
