grupo_etario,sexo,semana,semana_texto,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom
30-49,Mujer,38,20 Sep - 26 Sep 20,12,71.4,1.7
30-49,Mujer,39,27 Sep - 03 Oct 20,11,-8.3,1.6
30-49,Mujer,40,04 Oct - 10 Oct 20,10,-9.1,1.4
30-49,Mujer,41,11 Oct - 17 Oct 20,10,0.0,1.4
30-49,Mujer,42,18 Oct - 24 Oct 20,1,-90.0,0.1
30-49,Mujer,43,25 Oct - 31 Oct 20,7,600.0,1.0
30-49,Mujer,44,01 Nov - 07 Nov 20,10,42.9,1.4
30-49,Mujer,45,08 Nov - 14 Nov 20,3,-70.0,0.4
30-49,Mujer,46,15 Nov - 21 Nov 20,12,300.0,1.7
30-49,Mujer,47,22 Nov - 28 Nov 20,7,-41.7,1.0
30-49,Mujer,48,29 Nov - 05 Dec 20,4,-42.9,0.6
30-49,Mujer,49,06 Dec - 12 Dec 20,8,100.0,1.1
30-49,Mujer,50,13 Dec - 19 Dec 20,6,-25.0,0.9
30-49,Mujer,51,20 Dec - 26 Dec 20,6,0.0,0.9
30-49,Mujer,52,27 Dec - 02 Jan 21,8,33.3,1.1
30-49,Mujer,53,03 Jan - 09 Jan 21,9,12.5,1.3
30-49,Mujer,54,10 Jan - 16 Jan 21,4,-55.6,0.6
30-49,Mujer,55,17 Jan - 23 Jan 21,11,175.0,1.6
30-49,Mujer,56,24 Jan - 30 Jan 21,11,0.0,1.6
30-49,Mujer,57,31 Jan - 06 Feb 21,17,54.5,2.4
30-49,Mujer,58,07 Feb - 13 Feb 21,12,-29.4,1.7
30-49,Mujer,59,14 Feb - 20 Feb 21,9,-25.0,1.3
30-49,Mujer,60,21 Feb - 27 Feb 21,11,22.2,1.6
30-49,Mujer,61,28 Feb - 06 Mar 21,12,9.1,1.7
30-49,Mujer,62,07 Mar - 13 Mar 21,15,25.0,2.1
30-49,Mujer,63,14 Mar - 20 Mar 21,19,26.7,2.7
30-49,Mujer,64,21 Mar - 27 Mar 21,23,21.1,3.3
30-49,Mujer,65,28 Mar - 31 Mar 21,5,-78.3,1.2
50-69,Hombre,11,16 Mar - 21 Mar 20,1,-80.0,0.2
50-69,Hombre,12,22 Mar - 28 Mar 20,1,0.0,0.1
50-69,Hombre,13,29 Mar - 04 Apr 20,10,900.0,1.4
50-69,Hombre,14,05 Apr - 11 Apr 20,16,60.0,2.3
50-69,Hombre,15,12 Apr - 18 Apr 20,14,-12.5,2.0
50-69,Hombre,16,19 Apr - 25 Apr 20,23,64.3,3.3
50-69,Hombre,17,26 Apr - 02 May 20,19,-17.4,2.7
50-69,Hombre,18,03 May - 09 May 20,37,94.7,5.3
50-69,Hombre,19,10 May - 16 May 20,79,113.5,11.3
50-69,Hombre,20,17 May - 23 May 20,125,58.2,17.9
50-69,Hombre,21,24 May - 30 May 20,234,87.2,33.4
50-69,Hombre,22,31 May - 06 Jun 20,317,35.5,45.3
50-69,Hombre,23,07 Jun - 13 Jun 20,322,1.6,46.0
50-69,Hombre,24,14 Jun - 20 Jun 20,325,0.9,46.4
50-69,Hombre,25,21 Jun - 27 Jun 20,283,-12.9,40.4
50-69,Hombre,26,28 Jun - 04 Jul 20,254,-10.2,36.3
50-69,Hombre,27,05 Jul - 11 Jul 20,203,-20.1,29.0
50-69,Hombre,28,12 Jul - 18 Jul 20,174,-14.3,24.9
50-69,Hombre,29,19 Jul - 25 Jul 20,145,-16.7,20.7
50-69,Hombre,30,26 Jul - 01 Aug 20,131,-9.7,18.7
50-69,Hombre,31,02 Aug - 08 Aug 20,94,-28.2,13.4
50-69,Hombre,32,09 Aug - 15 Aug 20,96,2.1,13.7
50-69,Hombre,33,16 Aug - 22 Aug 20,107,11.5,15.3
50-69,Hombre,34,23 Aug - 29 Aug 20,87,-18.7,12.4
50-69,Hombre,35,30 Aug - 05 Sep 20,89,2.3,12.7
50-69,Hombre,36,06 Sep - 12 Sep 20,62,-30.3,8.9
50-69,Hombre,37,13 Sep - 19 Sep 20,64,3.2,9.1
50-69,Hombre,38,20 Sep - 26 Sep 20,70,9.4,10.0
50-69,Hombre,39,27 Sep - 03 Oct 20,77,10.0,11.0
50-69,Hombre,40,04 Oct - 10 Oct 20,68,-11.7,9.7
50-69,Hombre,41,11 Oct - 17 Oct 20,76,11.8,10.9
50-69,Hombre,42,18 Oct - 24 Oct 20,81,6.6,11.6
50-69,Hombre,43,25 Oct - 31 Oct 20,56,-30.9,8.0
50-69,Hombre,44,01 Nov - 07 Nov 20,57,1.8,8.1
50-69,Hombre,45,08 Nov - 14 Nov 20,51,-10.5,7.3
50-69,Hombre,46,15 Nov - 21 Nov 20,61,19.6,8.7
50-69,Hombre,47,22 Nov - 28 Nov 20,76,24.6,10.9
50-69,Hombre,48,29 Nov - 05 Dec 20,56,-26.3,8.0
50-69,Hombre,49,06 Dec - 12 Dec 20,48,-14.3,6.9
50-69,Hombre,50,13 Dec - 19 Dec 20,62,29.2,8.9
50-69,Hombre,51,20 Dec - 26 Dec 20,78,25.8,11.1
50-69,Hombre,52,27 Dec - 02 Jan 21,59,-24.4,8.4
50-69,Hombre,53,03 Jan - 09 Jan 21,80,35.6,11.4
50-69,Hombre,54,10 Jan - 16 Jan 21,104,30.0,14.9
50-69,Hombre,55,17 Jan - 23 Jan 21,106,1.9,15.1
50-69,Hombre,56,24 Jan - 30 Jan 21,128,20.8,18.3
50-69,Hombre,57,31 Jan - 06 Feb 21,140,9.4,20.0
50-69,Hombre,58,07 Feb - 13 Feb 21,124,-11.4,17.7
50-69,Hombre,59,14 Feb - 20 Feb 21,128,3.2,18.3
50-69,Hombre,60,21 Feb - 27 Feb 21,122,-4.7,17.4
50-69,Hombre,61,28 Feb - 06 Mar 21,128,4.9,18.3
50-69,Hombre,62,07 Mar - 13 Mar 21,145,13.3,20.7
50-69,Hombre,63,14 Mar - 20 Mar 21,146,0.7,20.9
50-69,Hombre,64,21 Mar - 27 Mar 21,185,26.7,26.4
50-69,Hombre,65,28 Mar - 31 Mar 21,82,-55.7,20.5
50-69,Mujer,11,16 Mar - 21 Mar 20,2,-97.6,0.3
50-69,Mujer,12,22 Mar - 28 Mar 20,1,-50.0,0.1
50-69,Mujer,13,29 Mar - 04 Apr 20,6,500.0,0.9
50-69,Mujer,14,05 Apr - 11 Apr 20,6,0.0,0.9
50-69,Mujer,15,12 Apr - 18 Apr 20,10,66.7,1.4
50-69,Mujer,16,19 Apr - 25 Apr 20,9,-10.0,1.3
50-69,Mujer,17,26 Apr - 02 May 20,7,-22.2,1.0
50-69,Mujer,18,03 May - 09 May 20,19,171.4,2.7
50-69,Mujer,19,10 May - 16 May 20,37,94.7,5.3
50-69,Mujer,20,17 May - 23 May 20,85,129.7,12.1
50-69,Mujer,21,24 May - 30 May 20,122,43.5,17.4
50-69,Mujer,22,31 May - 06 Jun 20,159,30.3,22.7
50-69,Mujer,23,07 Jun - 13 Jun 20,170,6.9,24.3
50-69,Mujer,24,14 Jun - 20 Jun 20,191,12.4,27.3
50-69,Mujer,25,21 Jun - 27 Jun 20,140,-26.7,20.0
50-69,Mujer,26,28 Jun - 04 Jul 20,127,-9.3,18.1
50-69,Mujer,27,05 Jul - 11 Jul 20,90,-29.1,12.9
50-69,Mujer,28,12 Jul - 18 Jul 20,84,-6.7,12.0
