grupo_etario,sexo,semana,semana_texto,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom
>=70,Mujer,33,16 Aug - 22 Aug 20,167,2.5,23.9
>=70,Mujer,34,23 Aug - 29 Aug 20,161,-3.6,23.0
>=70,Mujer,35,30 Aug - 05 Sep 20,135,-16.1,19.3
>=70,Mujer,36,06 Sep - 12 Sep 20,134,-0.7,19.1
>=70,Mujer,37,13 Sep - 19 Sep 20,151,12.7,21.6
>=70,Mujer,38,20 Sep - 26 Sep 20,128,-15.2,18.3
>=70,Mujer,39,27 Sep - 03 Oct 20,150,17.2,21.4
>=70,Mujer,40,04 Oct - 10 Oct 20,136,-9.3,19.4
>=70,Mujer,41,11 Oct - 17 Oct 20,131,-3.7,18.7
>=70,Mujer,42,18 Oct - 24 Oct 20,131,0.0,18.7
>=70,Mujer,43,25 Oct - 31 Oct 20,111,-15.3,15.9
>=70,Mujer,44,01 Nov - 07 Nov 20,118,6.3,16.9
>=70,Mujer,45,08 Nov - 14 Nov 20,95,-19.5,13.6
>=70,Mujer,46,15 Nov - 21 Nov 20,96,1.1,13.7
>=70,Mujer,47,22 Nov - 28 Nov 20,102,6.2,14.6
>=70,Mujer,48,29 Nov - 05 Dec 20,92,-9.8,13.1
>=70,Mujer,49,06 Dec - 12 Dec 20,114,23.9,16.3
>=70,Mujer,50,13 Dec - 19 Dec 20,104,-8.8,14.9
>=70,Mujer,51,20 Dec - 26 Dec 20,131,26.0,18.7
>=70,Mujer,52,27 Dec - 02 Jan 21,103,-21.4,14.7
>=70,Mujer,53,03 Jan - 09 Jan 21,146,41.7,20.9
>=70,Mujer,54,10 Jan - 16 Jan 21,166,13.7,23.7
>=70,Mujer,55,17 Jan - 23 Jan 21,223,34.3,31.9
>=70,Mujer,56,24 Jan - 30 Jan 21,240,7.6,34.3
>=70,Mujer,57,31 Jan - 06 Feb 21,225,-6.2,32.1
>=70,Mujer,58,07 Feb - 13 Feb 21,227,0.9,32.4
>=70,Mujer,59,14 Feb - 20 Feb 21,215,-5.3,30.7
>=70,Mujer,60,21 Feb - 27 Feb 21,228,6.0,32.6
>=70,Mujer,61,28 Feb - 06 Mar 21,243,6.6,34.7
>=70,Mujer,62,07 Mar - 13 Mar 21,271,11.5,38.7
>=70,Mujer,63,14 Mar - 20 Mar 21,261,-3.7,37.3
>=70,Mujer,64,21 Mar - 27 Mar 21,240,-8.0,34.3
>=70,Mujer,65,28 Mar - 31 Mar 21,127,-47.1,31.8
