grupo_etario,semana,semana_texto,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom
50-69,46,15 Nov - 21 Nov 20,97,7.8,13.9
50-69,47,22 Nov - 28 Nov 20,111,14.4,15.9
50-69,48,29 Nov - 05 Dec 20,98,-11.7,14.0
50-69,49,06 Dec - 12 Dec 20,70,-28.6,10.0
50-69,50,13 Dec - 19 Dec 20,101,44.3,14.4
50-69,51,20 Dec - 26 Dec 20,119,17.8,17.0
50-69,52,27 Dec - 02 Jan 21,87,-26.9,12.4
50-69,53,03 Jan - 09 Jan 21,131,50.6,18.7
50-69,54,10 Jan - 16 Jan 21,159,21.4,22.7
50-69,55,17 Jan - 23 Jan 21,180,13.2,25.7
50-69,56,24 Jan - 30 Jan 21,201,11.7,28.7
50-69,57,31 Jan - 06 Feb 21,204,1.5,29.1
50-69,58,07 Feb - 13 Feb 21,207,1.5,29.6
50-69,59,14 Feb - 20 Feb 21,203,-1.9,29.0
50-69,60,21 Feb - 27 Feb 21,189,-6.9,27.0
50-69,61,28 Feb - 06 Mar 21,200,5.8,28.6
50-69,62,07 Mar - 13 Mar 21,226,13.0,32.3
50-69,63,14 Mar - 20 Mar 21,237,4.9,33.9
50-69,64,21 Mar - 27 Mar 21,296,24.9,42.3
50-69,65,28 Mar - 31 Mar 21,143,-51.7,35.8
<30,14,05 Apr - 11 Apr 20,1,-99.3,0.1
<30,16,19 Apr - 25 Apr 20,1,0.0,0.1
<30,17,26 Apr - 02 May 20,2,100.0,0.3
<30,18,03 May - 09 May 20,4,100.0,0.6
<30,19,10 May - 16 May 20,3,-25.0,0.4
<30,20,17 May - 23 May 20,10,233.3,1.4
<30,21,24 May - 30 May 20,15,50.0,2.1
<30,22,31 May - 06 Jun 20,13,-13.3,1.9
<30,23,07 Jun - 13 Jun 20,15,15.4,2.1
<30,24,14 Jun - 20 Jun 20,9,-40.0,1.3
<30,25,21 Jun - 27 Jun 20,12,33.3,1.7
<30,26,28 Jun - 04 Jul 20,7,-41.7,1.0
<30,27,05 Jul - 11 Jul 20,9,28.6,1.3
<30,28,12 Jul - 18 Jul 20,6,-33.3,0.9
